src_code,src_content,dst_code,dst_content
Korean,Iime,Chinese (Simplified),石灰
Korean,Iime,Chinese (Traditional),石灰
Korean,Iime,Japanese,石灰
Korean,Iime,Spanish,cal
Korean,Iime,French,chaux
Korean,"Italy , Garganega",Japanese,イタリア、ガルガネガ
Korean,"Italy , Sangiovese",Japanese,"イタリア , サンジョヴェーゼ"
Korean,"Italy , Sangiovese",Chinese (Simplified),"意大利,桑娇维塞"
Korean,"Italy , Sangiovese",Chinese (Traditional),"意大利,桑嬌維塞"
Korean,"Italy , glera",French,"Italie, glère"
Korean,"Italy , glera",Chinese (Traditional),"義大利, 葛萊拉"
Korean,"Italy , glera",Chinese (Simplified),"意大利,葛莱拉"
Korean,"Italy , glera",Japanese,"イタリア,グローリー"
Korean,KHAKI,Japanese,カーキ
Korean,KHAKI,Vietnamese,Màu xanh khaki
Korean,Korean Style Cold Noodle,Chinese (Simplified),韩国冷面
Korean,Korean Style Cold Noodle,Chinese (Traditional),韓國冷面
Korean,Korean Style Cold Noodle,Japanese,韓国冷麺
Korean,Korean Style Cold Noodle,Spanish,Fideos Fríos Coreanos
Korean,LARGE SIZE = REGULAR SIZE +0.5,Japanese,大きいサイズ = 通常サイズ +0.5
Korean,Lime milk,Chinese (Simplified),青柠牛奶
Korean,Lime milk,Chinese (Traditional),青檸牛奶
Korean,Lime milk,Japanese,ライムミルク
Korean,Lime milk,Spanish,Leche de lima
Korean,M&M,Arabic,شوكولاتة إم آند إمز
Korean,M&M,Russian,М&М
Korean,M&M,Chinese (Traditional),美美巧克力
Korean,M.GRAY,Vietnamese,Xám Melange
Korean,M.GRAY,Japanese,メランジグレー
Korean,M.GRAY/S.BLUE / NAVY / BALCK,Vietnamese,Xám Melange / Xanh dương nhạt / Xanh đậm / Đen
Korean,M.GRAY/S.BLUE / NAVY / BALCK,Japanese,メランジグレー / スカイブルー / ネイビー / ブラック
Korean,M.GRAY/S.BLUE / NAVY / BALCK,English,M.GRAY / S.BLUE / NAVY / BLACK
Korean,M: 187CM/L SIZE,Vietnamese,M: 187CM / Cỡ L
Korean,M: 187CM/L SIZE,Japanese,M: 187CM / L サイズ
Korean,M: 187CM/L SIZE,English,M: 187CM / L SIZE
Korean,MENU,Chinese (Simplified),菜单
Korean,MENU,Chinese (Traditional),菜單
Korean,MENU,Japanese,メニュー
Korean,MENU,Spanish,Menú
Korean,MENU,English,Menu
Korean,MINT BEIGE/INDI PINK/CHARCOAL/BLACK,Japanese,ミントベージュ/インディピンク/チャコール/ブラック
Korean,MODEL SIZE,English,Model Size
Korean,Mexico City,Japanese,メキシコシティ
Korean,"Mixed Rice Noodle, Vegetable, Stire-fried Pork, Peanut sauce",English,"Mixed Rice Noodle, Vegetable, Stir-fried Pork, Peanut sauce"
Korean,"Mixed Rice Noodle, Vegetable, Stire-fried Pork, Peanut sauce",Chinese (Simplified),拌米线、蔬菜、猪肉、花生酱
Korean,"Mixed Rice Noodle, Vegetable, Stire-fried Pork, Peanut sauce",Chinese (Traditional),拌米線、蔬菜、炒豬肉、花生醬
Korean,"Mixed Rice Noodle, Vegetable, Stire-fried Pork, Peanut sauce",Japanese,ミックスフォー、野菜、豚肉炒め、ピーナッツソース
Korean,"Mixed Rice Noodle, Vegetable, Stire-fried Pork, Peanut sauce",Spanish,"Fideos mixtos de arroz, verduras, cerdo salteado, salsa de maní"
Korean,NAVY,Japanese,ネイビー
Korean,NAVY,Vietnamese,Xanh đậm
Korean,New Color,Japanese,新色
Korean,"New Zealand, Sauvignon Blanc",Chinese (Simplified),"新西兰, 白苏维翁"
Korean,"New Zealand, Sauvignon Blanc",Chinese (Traditional),"新西蘭, 白蘇維翁"
Korean,"New Zealand, Sauvignon Blanc",Japanese,ニュージーランド、ソーヴィニョン·ブラン
Korean,"Newzealand , Sauvignon Blanc",Chinese (Simplified),"新西兰, 白苏维翁"
Korean,"Newzealand , Sauvignon Blanc",Chinese (Traditional),"新西蘭, 白蘇維翁"
Korean,No. 1 Korean BBQ,Thai,หมูย่างเกาหลีอันดับ 1
Korean,No. 1 Korean BBQ,Russian,№1 Корейское барбекю
Korean,No. 1 Korean BBQ,Vietnamese,No.1 Korean BBQ
Korean,No. 1 Korean BBQ,English,No.1 Korean BBQ
Korean,No. 1 Korean BBQ,Chinese (Simplified),第一 式 肉韩
Korean,No. 1 Korean BBQ,Chinese (Traditional),第一韓式烤肉
Korean,No. 1 Korean BBQ,Indonesian,No.1 Korean BBQ
Korean,No. 1 Korean BBQ,Japanese,No.1 Korean BBQ
Korean,No.1 Korean BBQ,Russian,№1 Корейское барбекю
Korean,No.1 Korean BBQ,Thai,หมูย่างเกาหลีอันดับ 1
Korean,No.1 Korean BBQ,English,No. 1 Korean BBQ
Korean,No.1 Korean BBQ,Vietnamese,No. 1 Korean BBQ
Korean,No.1 Korean BBQ,Indonesian,No. 1 Korean BBQ
Korean,No.1 Korean BBQ,Japanese,No. 1 Korean BBQ
Korean,No.1 Korean BBQ,Chinese (Simplified),第一韩式烤肉
Korean,No.1 Korean BBQ,Chinese (Traditional),明伦进士排骨
Korean,OR,Vietnamese,Hoặc
Korean,OR,Japanese,または
Korean,OZ POLY 100% / HOODIE - NYLON 100%,English,Lining: POLY 100% / HOODIE - NYLON 100%
Korean,OZ POLY 100% / HOODIE - NYLON 100%,Japanese,裏地 POLY 100% / フーディー - ナイロン100％
Korean,OZ POLY 100% / HOODIE - NYLON 100%,Vietnamese,Lớp lót POLY 100% / ÁO KHOÁC - NHILON 100%
Korean,POINT 01,Japanese,ポイント 01
Korean,POINT 02,Japanese,ポイント 02
Korean,POINT 03,Japanese,ポイント 03
Korean,POLY 100%,Vietnamese,Thành phần: POLY 100%
Korean,POLY 100%,Japanese,混用率: ポリエステル 100%
Korean,POLY 100%,English,Composition: POLY 100%
Korean,RICE NOODLE,Chinese (Simplified),米线
Korean,RICE NOODLE,Chinese (Traditional),米線
Korean,RICE NOODLE,Japanese,フォー
Korean,RICE NOODLE,Spanish,Fideos de arroz
Korean,S.BLUE,Japanese,スカイブルー
Korean,S.BLUE,Vietnamese,Xanh dương nhạt
Korean,S/M/L,English,S / M / L
Korean,S/M/L,Japanese,S / M / L
Korean,S/M/L,Vietnamese,S / M / L
Korean,SET UP,Vietnamese,Cài đặt
Korean,SET UP,Japanese,セットアップ
Korean,SETUP,Vietnamese,Cài đặt
Korean,SETUP,Japanese,セットアップ
Korean,SIDE DISH,Chinese (Simplified),配菜
Korean,SIDE DISH,Chinese (Traditional),配菜
Korean,SIDE DISH,Japanese,サイドディッシュ
Korean,SIDE DISH,Spanish,Guarnición
Korean,SIZE,Vietnamese,CỠ
Korean,SIZE,Japanese,サイズ
Korean,SODA,Chinese (Simplified),软饮料
Korean,SODA,Chinese (Traditional),碳酸飲料
Korean,SODA,Japanese,ソフトドリンク
Korean,SODA,Spanish,Gaseosas
Korean,STIR-FRIED AND COOKED,Japanese,炒め物料理
Korean,STIR-FRIED AND COOKED,Chinese (Simplified),炒菜
Korean,STIR-FRIED AND COOKED,Chinese (Traditional),炒菜
Korean,STIR-FRIED AND COOKED,Spanish,Salteado
Korean,Saigon,Japanese,サイゴン
Korean,Saigon,Chinese (Simplified),西贡啤酒
Korean,Saigon,Chinese (Traditional),西貢
Korean,Saigon,Spanish,Saigón
Korean,Signature,Malay,Hidangan Istimewa
Korean,Signature,Japanese,シグネチャ
Korean,Signature,Indonesian,Signiture
Korean,Signature,Chinese (Traditional),精選
Korean,Signature,Chinese (Simplified),精选
Korean,Size L / 178cm,Vietnamese,Cỡ L / 178cm
Korean,Size L / 183cm,Vietnamese,Cỡ L / 183cm
Korean,Size L / 185cm,Vietnamese,Cỡ L / 185cm
Korean,Size L / 188cm,Japanese,サイズ L  / 188cm
Korean,Size L / 188cm,Vietnamese,Cỡ L / 188cm
Korean,Size L /188cm,Vietnamese,Size L / 188cm
Korean,Size L /188cm,Japanese,サイズ L / 188cm
Korean,Size L /188cm,English,Size L / 188cm
Korean,Size L 188cm,Vietnamese,Cỡ L / 188cm
Korean,Size L 188cm,English,Size L / 188cm
Korean,Size L 188cm,Japanese,サイズ L / 188cm
Korean,Size L/ 188cm,English,Size L / 188cm
Korean,Size L/ 188cm,Japanese,サイズ L / 188cm
Korean,Size L/ 188cm,Vietnamese,Size L / 188cm
Korean,Size M / 167cm,Vietnamese,Cỡ M / 167cm
Korean,Size M / 170cm,Vietnamese,Cỡ M / 170cm
Korean,Size M / 170cm,Japanese,サイズ M / 170cm
Korean,Size M /167cm,Vietnamese,Cỡ M / 167cm
Korean,Size M /170cm,Vietnamese,Cỡ M / 170cm
